Measurement
;BFO_BT_-TEMPLATE_5 nov nod za pec
Graph
;Keysiht MC

Series
;R positive (1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R positive (1V) [Ohm] Y-expression: $N12.DF3
;Assigned to Axis: Resistance [Ohm]

;R negative (1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R negative (1V) [Ohm] Y-expression: $N13.DF3
;Assigned to Axis: Resistance [Ohm]

Data
;Index;X data for R positive (1V) [Ohm];Y data for R positive (1V) [Ohm];X data for R negative (1V) [Ohm];Y data for R negative (1V) [Ohm];
;422;508.136266664369;50765.5186383063;508.136266664369;82619.2278076492;
;423;509.342633335618;52699.3114307968;509.342633335618;86255.5268228812;
;424;510.547616668046;54809.3265742472;510.547616668046;90233.162491879;
;425;511.761716661276;57022.7509371689;511.761716661276;94408.2021846058;
;426;512.973033328308;59341.5462033279;512.973033328308;98812.47171493;
;427;514.193050002214;61834.3149530832;514.193050002214;103565.876700681;
;428;515.407450004714;64417.1759381234;515.407450004714;108519.897123138;
;429;516.619949997403;67129.8176552763;516.619949997403;113752.054646487;
;430;517.841033331351;70072.2725418997;517.841033331351;119427.084390761;
;431;519.055966663873;73107.7520535967;519.055966663873;125333.700978856;
;432;520.275499995332;76390.4591372156;520.275499995332;131723.496573872;
;433;521.491183330072;79818.460892546;521.491183330072;138439.153915267;
;434;522.704500003019;83435.681102152;522.704500003019;145540.281911526;
;435;523.916149997385;87273.5904878768;523.916149997385;153116.377633984;
;436;525.119033338269;91370.9294250941;525.119033338269;161212.056727299;
;437;526.331349997781;95718.4193825971;526.331349997781;169846.475770551;
;438;527.538549997844;100284.808857154;527.538549997844;178978.284564734;
;439;528.745249996427;105301.509813048;528.745249996427;188963.403457652;
;440;529.950249998365;110603.441315473;529.950249998365;199582.47346551;
;441;531.172150002094;116243.520876755;531.172150002094;210945.5422988;
;442;532.382199995918;122175.903979514;532.382199995918;222901.825120144;
;443;533.592216671677;128550.401398628;533.592216671677;235810.125686797;
;444;534.80531666195;135389.631049716;534.80531666195;249702.230090617;
;445;536.016533332877;142716.261518986;536.016533332877;264624.471412618;
;446;537.234049999388;150650.281942003;537.234049999388;280826.303314874;
;447;538.445966664003;159066.976741227;538.445966664003;298059.039534551;
;448;539.659033336211;168142.961871902;539.659033336211;316716.285551403;
;449;540.873483336763;177947.341822608;540.873483336763;336914.736987511;
;450;542.08725000266;188508.52058513;542.08725000266;358773.997495758;
;451;543.28375000041;199617.931279531;543.28375000041;381774.104262508;
;452;544.495966663817;211838.375792805;544.495966663817;407154.519211586;
;453;545.710516670952;225124.831719188;545.710516670952;434862.018281599;
;454;546.916566663422;239727.094675421;546.916566663422;465315.390771865;
;455;548.129549998557;255149.555912198;548.129549998557;497601.560478494;
;456;549.344116664724;271970.453129972;549.344116664724;533053.870957253;
;457;550.554999997839;289521.912465945;550.554999997839;570679.18812896;
;458;551.767483331496;309235.631366389;551.767483331496;612209.040001127;
;459;552.980183337349;330866.174558376;552.980183337349;657690.074075633;
;460;554.192850004183;353994.831675458;554.192850004183;706837.165215412;
;461;555.405833328841;379115.296543985;555.405833328841;760306.525178691;
;462;556.611366671277;406038.606150673;556.611366671277;817795.224075891;
;463;557.823533336632;435420.59452328;557.823533336632;880729.032263747;
;464;559.035766669549;467228.586913862;559.035766669549;949097.977282391;
