Measurement
;BFO_BT_-TEMPLATE_5 nov nod za pec
Graph
;4 point R [Ohm]

Series
;4wR_fwd [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;4wR_fwd [Ohm] Y-expression: $N16.M4
;Assigned to Axis: Resistance [Ohm]

;4wR_rev [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;4wR_rev [Ohm] Y-expression: $N17.DF1
;Assigned to Axis: Resistance [Ohm]

Data
;Index;X data for 4wR_fwd [Ohm];Y data for 4wR_fwd [Ohm];X data for 4wR_rev [Ohm];Y data for 4wR_rev [Ohm];
;385;463.356716668932;31349.19;463.356716668932;-1595.641;
;386;464.56611666712;31857.78;464.56611666712;-1436.19;
;387;465.763316669036;32371.52;465.763316669036;-1244.464;
;388;466.976083331974;32921.95;466.976083331974;-1024.816;
;389;468.187149998266;33503.37;468.187149998266;-774.4173;
;390;469.394300000276;34100.32;469.394300000276;-506.539;
;391;470.607683330309;34714.45;470.607683330309;-219.137;
;392;471.82265000185;35355.36;471.82265000185;102.5923;
;393;473.038233330008;36042;473.038233330008;443.5711;
;394;474.239383335225;36718.61;474.239383335225;800.4676;
;395;475.446966671152;37436.29;475.446966671152;1195.301;
;396;476.65891666431;38179.94;476.65891666431;1587.967;
;397;477.869333334966;38958.19;477.869333334966;2030.885;
;398;479.081866666675;39771.3;479.081866666675;2506.497;
;399;480.294399998384;40617.47;480.294399998384;3011.639;
;400;481.500516668893;41474.26;481.500516668893;3541.007;
;401;482.710733336862;42395.55;482.710733336862;4113.376;
;402;483.925466666697;43347.74;483.925466666697;4723.855;
;403;485.141499998281;44358.01;485.141499998281;5382.833;
;404;486.357833328657;45391.51;486.357833328657;6079.893;
;405;487.569349998375;46470.99;487.569349998375;6796.763;
;406;488.776549998438;47578.19;488.776549998438;7567.263;
;407;489.987799997907;48771.75;489.987799997907;8393.237;
;408;491.199616666418;49997.73;491.199616666418;9259.462;
;409;492.404066668823;51221.63;492.404066668823;10133.61;
;410;493.618466671323;52602.42;493.618466671323;11060.32;
;411;494.831600000616;54030.81;494.831600000616;12101.85;
;412;496.042816671543;55496.16;496.042816671543;13186.32;
;413;497.245783328544;56962.11;497.245783328544;14287.89;
;414;498.455066671595;58619.27;498.455066671595;15537.16;
;415;499.658066667616;60233.25;499.658066667616;16770.78;
;416;500.872366663534;62074.7;500.872366663534;18201.14;
;417;502.085183335002;63962.44;502.085183335002;19674.43;
;418;503.301216666587;65942.39;503.301216666587;21241.02;
;419;504.510033336701;68009.25;504.510033336701;22885;
;420;505.719583329046;70168.07;505.719583329046;24621.5;
;421;506.923283329234;72447.19;506.923283329234;26470.88;
;422;508.136266664369;74866.53;508.136266664369;28436.15;
;423;509.342633335618;77271.11;509.342633335618;30424.88;
;424;510.547616668046;80022.93;510.547616668046;32694.38;
;425;511.761716661276;82871.78;511.761716661276;35067.78;
;426;512.973033328308;85872.05;512.973033328308;37584.4;
;427;514.193050002214;89022.66;514.193050002214;40241.77;
;428;515.407450004714;92426.27;515.407450004714;43135.76;
;429;516.619949997403;95964.21;516.619949997403;46165.89;
;430;517.841033331351;99726.68;517.841033331351;49380.73;
;431;519.055966663873;103769.7;519.055966663873;52870.15;
;432;520.275499995332;108018.1;520.275499995332;56541.18;
;433;521.491183330072;112589.7;521.491183330072;60508.55;
;434;522.704500003019;117405.7;522.704500003019;64701.62;
;435;523.916149997385;120909.2;523.916149997385;69201.74;
;436;525.119033338269;126219.7;525.119033338269;74015.43;
;437;526.331349997781;131805;526.331349997781;79092.33;
;438;527.538549997844;137812.1;527.538549997844;84571.04;
;439;528.745249996427;144232.4;528.745249996427;90458.14;
;440;529.950249998365;151159.2;529.950249998365;96829.27;
;441;531.172150002094;158386.4;531.172150002094;103512.8;
;442;532.382199995918;166216.8;532.382199995918;110722.1;
;443;533.592216671677;174494.4;533.592216671677;118432.6;
;444;534.80531666195;183394.3;534.80531666195;126751.7;
;445;536.016533332877;192911.7;536.016533332877;135682.5;
;446;537.234049999388;203261.4;537.234049999388;145394.3;
;447;538.445966664003;214290.1;538.445966664003;155817;
;448;539.659033336211;226139;539.659033336211;167032.3;
;449;540.873483336763;238910.9;540.873483336763;179103.2;
;450;542.08725000266;252698.5;542.08725000266;192258.7;
;451;543.28375000041;267089.5;543.28375000041;206061;
