Measurement
;BCTZ_16cikel za lukata loceno
Graph
;Keysiht MC

Series
;R (+1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R (+1V) [Ohm] Y-expression: $N12.DF3
;Assigned to Axis: Resistance

;Electrometer avg [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Electrometer avg [Ohm] Y-expression: ($N12.DF3+$N13.DF3)/2
;Assigned to Axis: Resistance

;R (-1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R (-1V) [Ohm] Y-expression: $N13.DF3
;Assigned to Axis: Resistance

Data
;Index;X data for R (+1V) [Ohm];Y data for R (+1V) [Ohm];X data for Electrometer avg [Ohm];Y data for Electrometer avg [Ohm];X data for R (-1V) [Ohm];Y data for R (-1V) [Ohm];
;106;760.776933340821;-308641975308.642;760.776933319867;-257201646090.535;760.776933340821;-205761316872.428;
;107;761.725233335746;208333333333.333;761.725233220495;18842434584.755;761.725233335746;-170648464163.823;
;108;762.676450002473;110253583241.455;762.676449991996;81666069752.3623;762.676450002473;53078556263.2696;
;109;763.628133331658;-53561863952.8656;763.628133321181;-69189753011.2081;763.628133331658;-84817642069.5505;
;110;764.575516671175;59772863120.1434;764.575516660698;75800113837.3903;764.575516671175;91827364554.6373;
;111;765.524050007807;295857988165.681;765.524049986852;203857405715.95;765.524050007807;111856823266.219;
;112;766.473600006429;116144018583.043;766.473599954043;120493981825.853;766.473600006429;124843945068.664;
;113;767.423650006531;-316455696202.532;767.42364989128;-525874906924.795;767.423650006531;-735294117647.059;
;114;768.370833332883;-242718446601.942;768.370833217632;-1232470334412.08;768.370833332883;-2222222222222.22;
;115;769.321183331776;182149362477.231;769.321183247957;36962127126.0615;769.321183331776;-108225108225.108;
;116;770.27024999843;-675675675675.676;770.27024995652;-422297297297.297;770.27024999843;-168918918918.919;
;117;771.220500001218;2040816326530.61;771.220499906922;1063400424658.25;771.220500001218;85984522785.8985;
;118;772.168466668809;69348127600.5548;772.168466595467;68480689898.9928;772.168466668809;67613252197.4307;
;119;773.116466664942;100704934541.793;773.116466549691;1663255693077.35;773.116466664942;3225806451612.9;
;120;774.067383332877;60496067755.5959;774.067383217625;56101187962.5963;774.067383332877;51706308169.5967;
;121;775.015633340226;-104166666666.667;775.015633298317;-90485791090.6299;775.015633340226;-76804915514.5929;
;122;775.96363333636;-102145045965.271;775.963633252541;-90976752830.9994;775.96363333636;-79808459696.7279;
;123;776.913250002544;2222222222222.22;776.913249887293;950339406931.046;776.913250002544;-321543408360.129;
;124;777.865183332469;292397660818.713;777.865183353424;379843690222.441;777.865183332469;467289719626.168;
